762|TJK|Tajikistan|38.8610340000|71.2760930000|
764|THA|Thailand|15.8700320000|100.9925410000|
768|TGO|Togo|8.6195430000|0.8247820000|
772|TKL|Tokelau|-9.2002000000|-171.8484000000|
776|TON|Tonga|-21.1789860000|-175.1982420000|
780|TTO|Trinidad and Tobago|10.6918030000|-61.2225030000|
784|ARE|United Arab Emirates|23.4240760000|53.8478180000|
788|TUN|Tunisia|33.8869170000|9.5374990000|
792|TUR|Turkey|38.9637450000|35.2433220000|
795|TKM|Turkmenistan|38.9697190000|59.5562780000|
796|TCA|Turks and Caicos Islands|21.6940250000|-71.7979280000|
798|TUV|Tuvalu|-7.4784418000|178.6799214000|
800|UGA|Uganda|1.3733330000|32.2902750000|
804|UKR|Ukraine|48.3794330000|31.1655800000|
807|MKD|Macedonia|41.6086350000|21.7452750000|
818|EGY|Egypt|26.8205530000|30.8024980000|
826|GBR|United Kingdom|55.3780510000|-3.4359730000|
831|GGY|Guernsey|49.4656910000|-2.5852780000|
832|JEY|Jersey|49.2144390000|-2.1312500000|
833|IMN|Isle of Man|54.2361070000|-4.5480560000|
834|TZA|Tanzania|-6.3690280000|34.8888220000|
840|USA|United States|37.0902400000|-95.7128910000|
850|VIR|U.S. Virgin Islands|18.3357650000|-64.8963350000|
854|BFA|Burkina Faso|12.2383330000|-1.5615930000|
858|URY|Uruguay|-32.5227790000|-55.7658350000|
860|UZB|Uzbekistan|41.3774910000|64.5852620000|
862|VEN|Venezuela|6.4237500000|-66.5897300000|
876|WLF|Wallis and Futuna|-14.2938000000|-178.1165000000|
882|WSM|Samoa|-13.7590290000|-172.1046290000|
887|YEM|Yemen|15.5527270000|48.5163880000|
894|ZMB|Zambia|-13.1338970000|27.8493320000|
